,中心 X,中心 Y
548,8654.3746,4971.8566
549,8833.1979,5372.2772
550,8599.9253,3931.9771
551,8612.1475,4253.2605
552,9093.4603,3995.8193
553,9091.5828,4501.8992
554,9090.2858,3066.6581
555,9054.6632,3511.9096
556,8611.8787,3402.3131
557,8125.5152,4852.542
558,8114.8057,5086.7123
559,8038.1943,3445.0433
560,8144.8098,4431.8614
561,8516.833,2038.5929
562,8610.2237,2846.9478
563,8381.7954,4973.4663
564,8503.4241,1741.1975
565,10175.8043,2229.4592
566,10173.0379,2647.5904
567,9580.0387,3805.7868
568,9777.7275,4700.9939
569,10064.4751,3936.652
570,10076.0627,4833.363
571,10123.1873,2997.8072
572,10084.0123,3385.6289
573,9620.6987,3321.8622
574,9252.9728,4417.5848
575,9287.8906,5593.8592
576,9123.5705,4685.4155
577,9101.0704,5447.803
578,9586.8808,2354.2901
579,9624.393,2877.524
580,9393.2981,5610.993
581,9536.4946,1837.0711
582,6624.8183,5002.09
583,6820.3406,4658.47
584,6593.768,4074.6946
585,6613.9795,4517.612
586,7053.007,3281.7843
587,7095.6029,3756.1797
588,6735.3802,4838.5793
589,7039.6728,2738.9318
590,6538.3972,3602.3841
591,6208.8136,5843.9546
592,6454.9849,1808.4891
593,5963.7824,5773.6357
594,6217.4153,5737.1076
595,6501.9071,3097.2405
596,6518.4201,3346.3301
597,6494.5889,2280.6216
598,6488.7461,2584.1734
599,7614.1216,4759.026
600,7632.3431,5117.6053
601,7596.5142,3909.9702
602,7625.9589,4639.6085
603,7835.5969,4993.8322
604,7979.9803,2865.685
605,7791.1593,3723.4746
606,7863.1824,4526.2105
607,7535.5034,3330.5811
608,7111.7397,4815.1811
609,7409.4188,4053.2488
610,7102.746,4083.4248
611,7127.1763,4406.3023
612,7480.7284,2488.6998
613,7520.8785,2894.0483
614,7380.2649,4746.6137
615,7363.8943,4877.0988
616,12115.4174,3946.9759
617,12078.383,4435.055
618,12233.8602,3171.0759
619,12145.8907,3507.4149
620,12004.4672,5122.9636
621,12075.4569,5237.9828
622,12023.9612,4820.1163
623,11978.107,5016.5233
624,12175.3493,2644.3277
625,11625.3104,5536.4163
626,11598.3595,5902.0506
627,11594.6121,4390.3165
628,11623.8032,5396.9514
629,11747.6567,5809.3983
630,11863.6551,5896.8399
631,11810.7996,5281.6072
632,11905.7537,5707.1987
633,12876.3945,5624.8982
634,13252.2381,3242.4478
635,12754.4156,4542.4094
636,12629.4911,4914.2625
637,13225.3392,4304.3054
638,13199.2119,4521.7947
639,13198.0947,3944.7853
640,13184.2866,4113.1763
641,12714.0476,4360.0378
642,12393.1367,4495.5953
643,12244.9471,5381.6107
644,12131.7661,5689.5991
645,12121.4995,5849.6373
646,12655.2853,3835.7923
647,12670.7065,4138.7717
648,12932.1521,1644.2754
649,12652.5737,3480.711
650,10662.3862,4501.1785
651,10618.6803,5207.2104
652,10658.1207,3734.785
653,10643.0795,3986.3541
654,10846.9201,5585.5548
655,10991.0875,5625.0358
656,11001.56,5437.996
657,10981.6972,5548.1479
658,10664.8122,3460.2759
659,10448.3017,3927.2293
660,10316.5613,4018.2745
661,10091.1951,5141.4164
662,10125.1897,5463.4938
663,10721.6886,2498.9961
664,10691.4427,2980.7336
665,10502.1829,5524.9807
666,10477.2281,5636.8109
667,11870.6171,1697.9832
668,11714.448,2839.0299
669,11381.341,5658.1178
670,11381.7009,5764.9093
671,11586.2604,3677.3376
672,11634.1561,3974.9656
673,11618.7025,3362.9301
674,12053.1956,5438.0698
675,11391.181,5461.8423
676,11148.9908,3696.2227
677,11110.8471,4284.5735
678,11186.745,3139.1559
679,11175.5796,3374.2395
680,11137.5293,5596.4285
681,11136.5137,5649.8545
682,11127.6413,5162.5956
683,11128.5285,5309.9676
684,5502.3756,5827.674
753,5570.169,3605.7875
754,5113.2407,4150.7826
755,5560.1048,2923.6497
756,6017.2461,3080.9717
757,6065.2328,3596.9004
758,5614.1213,4108.113
759,4864.7658,4429.9169
760,4625.3061,4696.1427
761,3608.0331,4270.1486
762,7333.9852,1879.8686
763,4544.2219,2700.2507
765,7919.6909,1929.8311
766,4590.5958,4200.8368
767,4539.2974,3192.4721
768,4539.2921,2943.1107
769,4553.8236,3701.9119
770,5650.2371,5152.8269
771,5251.1837,5587.1563
772,6105.9846,4630.9437
773,5873.9889,4868.5181
774,5880.4221,5419.9931
775,5668.508,5639.1632
776,6354.1615,4830.0884
777,6126.3456,5141.1778
778,4941.7911,5403.5642
779,4640.2658,5209.0959
780,4419.6019,5477.8667
781,5410.6675,4365.3886
782,5148.6076,4669.0763
783,5629.1397,4637.9079
784,5154.9187,5184.4934
785,4163.689,5766.9811
786,6053.0253,4113.7601
797,14616.5958,4436.7513
821,13154.5255,4782.4663
993,14255.4253,3271.2575
994,14165.9763,3965.6828
995,13649.1196,4708.6589
996,13813.8066,5612.091
997,14134.792,4932.2894
998,14126.9772,5218.7505
999,14173.1192,4455.5993
1000,14157.9748,4776.2239
1001,13700.242,4301.0145
1002,13133.6527,5664.0944
1003,13559.643,1904.2552
1004,13119.0463,5218.1677
1005,13121.9488,5454.4884
1006,13800.1633,3631.3869
1007,13768.5852,3940.7473
1008,13413.0752,2864.1993
1009,13879.2881,1711.8024
1019,14586.6567,4250.1332
1020,14608.6717,4996.1743
1021,14121.9422,5639.7717
1022,14359.2671,5843.045
1025,14612.9628,5278.8023
1026,14588.9412,5641.6648
