,PositionX,PositionY,depth
0,8654.3746,4971.8566,-315.98
1,8833.1979,5372.2772,-300.77
2,8599.9253,3931.9771,-474.30
3,8612.1475,4253.2605,-339.51
4,9093.4603,3995.8193,-503.05
5,9091.5828,4501.8992,-387.45
6,9090.2858,3066.6581,-639.82
7,9054.6632,3511.9096,-559.76
8,8611.8787,3402.3131,-553.42
9,8125.5152,4852.542,-342.23
10,8114.8057,5086.7123,-381.60
11,8038.1943,3445.0433,-541.26
12,8144.8098,4431.8614,-342.23
13,8516.833,2038.5929,-718.86
14,8610.2237,2846.9478,-661.17
15,8381.7954,4973.4663,-306.37
16,8503.4241,1741.1975,-691.60
17,10175.8043,2229.4592,-844.22
18,10173.0379,2647.5904,-776.64
19,9580.0387,3805.7868,-554.53
20,9777.7275,4700.9939,-412.05
21,10064.4751,3936.652,-574.39
22,10076.0627,4833.363,-413.23
23,10123.1873,2997.8072,-708.22
24,10084.0123,3385.6289,-638.24
25,9620.6987,3321.8622,-624.59
26,9252.9728,4417.5848,-440.24
27,9287.8906,5593.8592,-313.96
28,9123.5705,4685.4155,-373.11
29,9101.0704,5447.803,-297.72
30,9586.8808,2354.2901,-800.72
31,9624.393,2877.524,-709.58
32,9393.2981,5610.993,-317.25
33,9536.4946,1837.0711,-879.35
34,6624.8183,5002.09,-366.32
35,6820.3406,4658.47,-390.60
36,6593.768,4074.6946,-431.45
37,6613.9795,4517.612,-404.39
38,7053.007,3281.7843,-572.85
39,7095.6029,3756.1797,-495.57
40,6735.3802,4838.5793,-365.78
41,7039.6728,2738.9318,-572.60
42,6538.3972,3602.3841,-500.66
43,6208.8136,5843.9546,-147.55
44,6454.9849,1808.4891,-226.87
45,5963.7824,5773.6357,-148.85
46,6217.4153,5737.1076,-265.85
47,6501.9071,3097.2405,-531.59
48,6518.4201,3346.3301,-503.39
49,6494.5889,2280.6216,-630.65
50,6488.7461,2584.1734,-616.12
51,7614.1216,4759.026,-408.80
52,7632.3431,5117.6053,-322.44
53,7596.5142,3909.9702,-486.45
54,7625.9589,4639.6085,-403.39
55,7835.5969,4993.8322,-416.23
56,7979.9803,2865.685,-633.01
57,7791.1593,3723.4746,-495.92
58,7863.1824,4526.2105,-395.62
59,7535.5034,3330.5811,-548.25
60,7111.7397,4815.1811,-379.80
61,7409.4188,4053.2488,-468.12
62,7102.746,4083.4248,-453.87
63,7127.1763,4406.3023,-441.84
64,7480.7284,2488.6998,-632.83
65,7520.8785,2894.0483,-617.28
66,7380.2649,4746.6137,-405.39
67,7363.8943,4877.0988,-373.57
68,12115.4174,3946.9759,-768.36
69,12078.383,4435.055,-677.80
70,12233.8602,3171.0759,-892.57
71,12145.8907,3507.4149,-839.73
72,12004.4672,5122.9636,-416.45
73,12075.4569,5237.9828,-344.89
74,12023.9612,4820.1163,-561.10
75,11978.107,5016.5233,-480.42
76,12175.3493,2644.3277,-909.13
77,11625.3104,5536.4163,-321.39
78,11598.3595,5902.0506,-222.62
79,11594.6121,4390.3165,-659.25
80,11623.8032,5396.9514,-350.62
81,11747.6567,5809.3983,-222.62
82,11863.6551,5896.8399,-209.10
83,11810.7996,5281.6072,-382.84
84,11905.7537,5707.1987,-234.44
85,12876.3945,5624.8982,-176.94
86,13252.2381,3242.4478,-948.06
87,12754.4156,4542.4094,-531.29
88,12629.4911,4914.2625,-395.88
89,13225.3392,4304.3054,-629.34
90,13199.2119,4521.7947,-536.07
91,13198.0947,3944.7853,-701.85
92,13184.2866,4113.1763,-701.85
93,12714.0476,4360.0378,-637.33
94,12393.1367,4495.5953,-660.43
95,12244.9471,5381.6107,-257.46
