计数,名称,内容,位置 X,位置 Y,位置 Z,直径,中心 X,中心 Y,中心 Z
1,圆,,,,,17.4008,4418.8276,5478.8003,0.0000
1,圆,,,,,10.0349,4162.0541,5767.4349,0.0000
1,圆,,,,,17.4008,4647.4050,5215.9466,0.0000
1,圆,,,,,10.0349,4418.8925,5478.7835,0.0000
1,圆,,,,,17.4008,6438.5656,5316.1061,0.0000
1,圆,,,,,10.0349,6217.5974,5732.8049,0.0000
1,圆,,,,,17.4008,4161.9892,5767.4517,0.0000
1,圆,,,,,10.0349,6438.6305,5316.0893,0.0000
1,圆,,,,,10.0349,4647.4699,5215.9298,0.0000
1,圆,,,,,10.0349,5618.1008,4111.5047,0.0000
1,圆,,,,,17.4008,5618.0359,4111.5214,0.0000
1,圆,,,,,10.0349,6078.9668,3601.7047,0.0000
1,圆,,,,,17.4008,6078.9018,3601.7215,0.0000
1,圆,,,,,10.0349,5132.2513,4675.9506,0.0000
1,圆,,,,,17.4008,5132.1864,4675.9674,0.0000
1,圆,,,,,10.0349,5407.6331,4367.3405,0.0000
1,圆,,,,,17.4008,5407.5682,4367.3573,0.0000
1,圆,,,,,10.0349,6534.9741,3341.1503,0.0000
1,圆,,,,,17.4008,6534.9091,3341.1671,0.0000
1,圆,,,,,10.0349,6513.6258,3097.8870,0.0000
1,圆,,,,,17.4008,6513.5609,3097.9038,0.0000
1,圆,,,,,10.0349,6597.1747,4084.0186,0.0000
1,圆,,,,,17.4008,6597.1098,4084.0354,0.0000
1,圆,,,,,10.0349,6552.4003,3586.5022,0.0000
1,圆,,,,,17.4008,6552.3354,3586.5190,0.0000
1,圆,,,,,17.4008,6479.7944,2285.6149,0.0000
1,圆,,,,,17.4008,6210.4731,5849.8261,0.0000
1,圆,,,,,10.0349,6456.2408,1808.8977,0.0000
1,圆,,,,,17.4008,6217.5324,5732.8217,0.0000
1,圆,,,,,10.0349,6210.5381,5849.8093,0.0000
1,圆,,,,,17.4008,6467.2200,2083.2268,0.0000
1,圆,,,,,10.0349,6479.8594,2285.5981,0.0000
1,圆,,,,,17.4008,6456.1759,1808.9145,0.0000
1,圆,,,,,10.0349,6467.2849,2083.2100,0.0000
1,圆,,,,,17.4008,4566.6195,3699.8421,0.0000
1,圆,,,,,10.0349,4593.5534,4200.8363,0.0000
1,圆,,,,,17.4008,4543.0882,2946.8596,0.0000
1,圆,,,,,10.0349,4566.6844,3699.8253,0.0000
1,圆,,,,,17.4008,6103.8740,4627.7091,0.0000
1,圆,,,,,10.0349,5877.3017,4887.2244,0.0000
1,圆,,,,,17.4008,4593.4885,4200.8530,0.0000
1,圆,,,,,10.0349,6103.9390,4627.6923,0.0000
1,圆,,,,,10.0349,4543.1532,2946.8428,0.0000
1,圆,,,,,10.0349,4488.2612,2204.0778,0.0000
1,圆,,,,,17.4008,4488.1963,2204.0946,0.0000
1,圆,,,,,10.0349,7067.0463,3265.8826,0.0000
1,圆,,,,,17.4008,7066.9814,3265.8994,0.0000
1,圆,,,,,10.0349,4538.9474,2697.5348,0.0000
1,圆,,,,,17.4008,4538.8825,2697.5516,0.0000
1,圆,,,,,10.0349,4512.7150,2459.1497,0.0000
1,圆,,,,,17.4008,4512.6501,2459.1665,0.0000
1,圆,,,,,10.0349,5879.2625,5412.9387,0.0000
1,圆,,,,,17.4008,5879.1976,5412.9555,0.0000
1,圆,,,,,10.0349,6132.1908,5138.0445,0.0000
1,圆,,,,,17.4008,6132.1259,5138.0613,0.0000
1,圆,,,,,10.0349,5504.7133,5827.7924,0.0000
1,圆,,,,,17.4008,5504.6484,5827.8092,0.0000
1,圆,,,,,10.0349,5669.9662,5639.9946,0.0000
1,圆,,,,,17.4008,5669.9012,5640.0114,0.0000
1,圆,,,,,17.4008,6359.7128,4822.6515,0.0000
1,圆,,,,,17.4008,5653.8011,5143.7763,0.0000
1,圆,,,,,10.0349,5251.9562,5588.3716,0.0000
1,圆,,,,,17.4008,5877.2368,4887.2412,0.0000
1,圆,,,,,10.0349,5653.8660,5143.7595,0.0000
1,圆,,,,,17.4008,5171.4138,5680.1926,0.0000
1,圆,,,,,10.0349,6359.7777,4822.6348,0.0000
1,圆,,,,,17.4008,5251.8913,5588.3884,0.0000
1,圆,,,,,10.0349,5171.4787,5680.1758,0.0000
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;优},7511.0802,2438.0794,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;∠3°},7478.3647,2442.5351,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;3.46},11140.4583,4233.1229,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;∠9°},11141.5302,4217.9710,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;∠15°},12394.8477,5494.1703,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C1;32.09},6011.6531,3601.5986,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;5.36},7483.8602,2456.6584,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;4.08},12394.8464,5511.1450,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;甲},11169.0499,4227.9933,0.0000,,,,
1,圆,,,,,10.0349,7051.6625,2721.2155,0.0000
1,圆,,,,,17.4008,7051.5976,2721.2323,0.0000
1,圆,,,,,10.0349,7095.6150,3759.6471,0.0000
1,圆,,,,,17.4008,7095.5501,3759.6639,0.0000
1,多行文字,{\fCourier New|b0|i0|c0|p49;\C7;-900},10659.0195,1703.1802,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;∠12°},6339.9314,4783.6685,0.0000,,,,
1,多行文字,{\fCourier New|b0|i0|c0|p49;\C1;31.87},6423.2758,2081.2784,0.0000,,,,
1,多行文字,{\fCourier New|b0|i0|c0|p49;\C7;-900},11177.0642,1979.3133,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-162.56},12562.3978,5601.9157,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-176.94},12800.2148,5608.8780,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-306.37},8311.7556,4946.7693,0.0000,,,,
1,多行文字,{\fSimHei|b0|i0|c134|p2;\C7;-282.18},12528.1693,5258.5705,0.0000,,,,
